2025-11-07 16:09:10 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:10:41 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:11:21 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:12:01 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:12:40 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:13:18 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:15:15 | rag_app | INFO | query.py:175 | 💾 Saving chat for user ravishankerdas020@gmail.com, document: ravi_attentive.pdf, messages: 9
2025-11-07 16:15:19 | rag_app | INFO | query.py:175 | 💾 Saving chat for user ravishankerdas020@gmail.com, document: ravi_attentive.pdf, messages: 10
2025-11-07 16:15:24 | rag_app | INFO | query.py:175 | 💾 Saving chat for user ravishankerdas020@gmail.com, document: ravi_attentive.pdf, messages: 10
2025-11-07 16:16:44 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:17:21 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:18:21 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:18:26 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:18:39 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:19:03 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:19:07 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:19:18 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:19:42 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:19:45 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:19:58 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:20:21 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:20:25 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:20:36 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:20:59 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:21:02 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:21:29 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:21:32 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:21:45 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:22:09 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:22:12 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:22:24 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:22:47 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:22:51 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:23:02 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:23:25 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:23:29 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:23:40 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-07 16:24:06 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:24:10 | rag_app | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-07 16:24:21 | rag_app | INFO | main.py:32 | 🚀 Application started and database tables verified
